Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)
U+1D4BF	𝒿	\scrj	Mathematical Script Small J
U+1D4C0	𝓀	\scrk	Mathematical Script Small K
U+1D4C1	𝓁	\scrl	Mathematical Script Small L
U+1D4C2	𝓂	\scrm	Mathematical Script Small M
U+1D4C3	𝓃	\scrn	Mathematical Script Small N
U+1D4C5	𝓅	\scrp	Mathematical Script Small P
U+1D4C6	𝓆	\scrq	Mathematical Script Small Q
U+1D4C7	𝓇	\scrr	Mathematical Script Small R
U+1D4C8	𝓈	\scrs	Mathematical Script Small S
U+1D4C9	𝓉	\scrt	Mathematical Script Small T
U+1D4CA	𝓊	\scru	Mathematical Script Small U
U+1D4CB	𝓋	\scrv	Mathematical Script Small V
U+1D4CC	𝓌	\scrw	Mathematical Script Small W
U+1D4CD	𝓍	\scrx	Mathematical Script Small X
U+1D4CE	𝓎	\scry	Mathematical Script Small Y
U+1D4CF	𝓏	\scrz	Mathematical Script Small Z
U+1D4D0	𝓐	\bscrA	Mathematical Bold Script Capital A
U+1D4D1	𝓑	\bscrB	Mathematical Bold Script Capital B
U+1D4D2	𝓒	\bscrC	Mathematical Bold Script Capital C
U+1D4D3	𝓓	\bscrD	Mathematical Bold Script Capital D
U+1D4D4	𝓔	\bscrE	Mathematical Bold Script Capital E
U+1D4D5	𝓕	\bscrF	Mathematical Bold Script Capital F
U+1D4D6	𝓖	\bscrG	Mathematical Bold Script Capital G
U+1D4D7	𝓗	\bscrH	Mathematical Bold Script Capital H
U+1D4D8	𝓘	\bscrI	Mathematical Bold Script Capital I
U+1D4D9	𝓙	\bscrJ	Mathematical Bold Script Capital J
U+1D4DA	𝓚	\bscrK	Mathematical Bold Script Capital K
U+1D4DB	𝓛	\bscrL	Mathematical Bold Script Capital L
U+1D4DC	𝓜	\bscrM	Mathematical Bold Script Capital M
U+1D4DD	𝓝	\bscrN	Mathematical Bold Script Capital N
U+1D4DE	𝓞	\bscrO	Mathematical Bold Script Capital O
U+1D4DF	𝓟	\bscrP	Mathematical Bold Script Capital P
U+1D4E0	𝓠	\bscrQ	Mathematical Bold Script Capital Q
U+1D4E1	𝓡	\bscrR	Mathematical Bold Script Capital R
U+1D4E2	𝓢	\bscrS	Mathematical Bold Script Capital S
U+1D4E3	𝓣	\bscrT	Mathematical Bold Script Capital T
U+1D4E4	𝓤	\bscrU	Mathematical Bold Script Capital U
U+1D4E5	𝓥	\bscrV	Mathematical Bold Script Capital V
U+1D4E6	𝓦	\bscrW	Mathematical Bold Script Capital W
U+1D4E7	𝓧	\bscrX	Mathematical Bold Script Capital X
U+1D4E8	𝓨	\bscrY	Mathematical Bold Script Capital Y
U+1D4E9	𝓩	\bscrZ	Mathematical Bold Script Capital Z
U+1D4EA	𝓪	\bscra	Mathematical Bold Script Small A
U+1D4EB	𝓫	\bscrb	Mathematical Bold Script Small B
U+1D4EC	𝓬	\bscrc	Mathematical Bold Script Small C
U+1D4ED	𝓭	\bscrd	Mathematical Bold Script Small D
U+1D4EE	𝓮	\bscre	Mathematical Bold Script Small E
U+1D4EF	𝓯	\bscrf	Mathematical Bold Script Small F
U+1D4F0	𝓰	\bscrg	Mathematical Bold Script Small G
U+1D4F1	𝓱	\bscrh	Mathematical Bold Script Small H
U+1D4F2	𝓲	\bscri	Mathematical Bold Script Small I
U+1D4F3	𝓳	\bscrj	Mathematical Bold Script Small J
U+1D4F4	𝓴	\bscrk	Mathematical Bold Script Small K
U+1D4F5	𝓵	\bscrl	Mathematical Bold Script Small L
U+1D4F6	𝓶	\bscrm	Mathematical Bold Script Small M
U+1D4F7	𝓷	\bscrn	Mathematical Bold Script Small N
U+1D4F8	𝓸	\bscro	Mathematical Bold Script Small O
U+1D4F9	𝓹	\bscrp	Mathematical Bold Script Small P
U+1D4FA	𝓺	\bscrq	Mathematical Bold Script Small Q
U+1D4FB	𝓻	\bscrr	Mathematical Bold Script Small R
U+1D4FC	𝓼	\bscrs	Mathematical Bold Script Small S
U+1D4FD	𝓽	\bscrt	Mathematical Bold Script Small T
U+1D4FE	𝓾	\bscru	Mathematical Bold Script Small U
U+1D4FF	𝓿	\bscrv	Mathematical Bold Script Small V
U+1D500	𝔀	\bscrw	Mathematical Bold Script Small W
U+1D501	𝔁	\bscrx	Mathematical Bold Script Small X
U+1D502	𝔂	\bscry	Mathematical Bold Script Small Y
U+1D503	𝔃	\bscrz	Mathematical Bold Script Small Z
U+1D504	𝔄	\frakA	Mathematical Fraktur Capital A
U+1D505	𝔅	\frakB	Mathematical Fraktur Capital B
U+1D507	𝔇	\frakD	Mathematical Fraktur Capital D
U+1D508	𝔈	\frakE	Mathematical Fraktur Capital E
U+1D509	𝔉	\frakF	Mathematical Fraktur Capital F
U+1D50A	𝔊	\frakG	Mathematical Fraktur Capital G
U+1D50D	𝔍	\frakJ	Mathematical Fraktur Capital J
U+1D50E	𝔎	\frakK	Mathematical Fraktur Capital K
U+1D50F	𝔏	\frakL	Mathematical Fraktur Capital L
U+1D510	𝔐	\frakM	Mathematical Fraktur Capital M
U+1D511	𝔑	\frakN	Mathematical Fraktur Capital N
U+1D512	𝔒	\frakO	Mathematical Fraktur Capital O
U+1D513	𝔓	\frakP	Mathematical Fraktur Capital P
U+1D514	𝔔	\frakQ	Mathematical Fraktur Capital Q
U+1D516	𝔖	\frakS	Mathematical Fraktur Capital S
U+1D517	𝔗	\frakT	Mathematical Fraktur Capital T
U+1D518	𝔘	\frakU	Mathematical Fraktur Capital U
U+1D519	𝔙	\frakV	Mathematical Fraktur Capital V
U+1D51A	𝔚	\frakW	Mathematical Fraktur Capital W
U+1D51B	𝔛	\frakX	Mathematical Fraktur Capital X
U+1D51C	𝔜	\frakY	Mathematical Fraktur Capital Y
U+1D51E	𝔞	\fraka	Mathematical Fraktur Small A
U+1D51F	𝔟	\frakb	Mathematical Fraktur Small B
U+1D520	𝔠	\frakc	Mathematical Fraktur Small C
U+1D521	𝔡	\frakd	Mathematical Fraktur Small D
U+1D522	𝔢	\frake	Mathematical Fraktur Small E
U+1D523	𝔣	\frakf	Mathematical Fraktur Small F
U+1D524	𝔤	\frakg	Mathematical Fraktur Small G
U+1D525	𝔥	\frakh	Mathematical Fraktur Small H
U+1D526	𝔦	\fraki	Mathematical Fraktur Small I
U+1D527	𝔧	\frakj	Mathematical Fraktur Small J
U+1D528	𝔨	\frakk	Mathematical Fraktur Small K
U+1D529	𝔩	\frakl	Mathematical Fraktur Small L
U+1D52A	𝔪	\frakm	Mathematical Fraktur Small M
U+1D52B	𝔫	\frakn	Mathematical Fraktur Small N
U+1D52C	𝔬	\frako	Mathematical Fraktur Small O
U+1D52D	𝔭	\frakp	Mathematical Fraktur Small P
U+1D52E	𝔮	\frakq	Mathematical Fraktur Small Q
U+1D52F	𝔯	\frakr	Mathematical Fraktur Small R
U+1D530	𝔰	\fraks	Mathematical Fraktur Small S
U+1D531	𝔱	\frakt	Mathematical Fraktur Small T
U+1D532	𝔲	\fraku	Mathematical Fraktur Small U
U+1D533	𝔳	\frakv	Mathematical Fraktur Small V
U+1D534	𝔴	\frakw	Mathematical Fraktur Small W
U+1D535	𝔵	\frakx	Mathematical Fraktur Small X
U+1D536	𝔶	\fraky	Mathematical Fraktur Small Y
U+1D537	𝔷	\frakz	Mathematical Fraktur Small Z
U+1D538	𝔸	\bbA	Mathematical Double-Struck Capital A
U+1D539	𝔹	\bbB	Mathematical Double-Struck Capital B
U+1D53B	𝔻	\bbD	Mathematical Double-Struck Capital D
U+1D53C	𝔼	\bbE	Mathematical Double-Struck Capital E
U+1D53D	𝔽	\bbF	Mathematical Double-Struck Capital F
U+1D53E	𝔾	\bbG	Mathematical Double-Struck Capital G
U+1D540	𝕀	\bbI	Mathematical Double-Struck Capital I
U+1D541	𝕁	\bbJ	Mathematical Double-Struck Capital J
U+1D542	𝕂	\bbK	Mathematical Double-Struck Capital K
U+1D543	𝕃	\bbL	Mathematical Double-Struck Capital L
U+1D544	𝕄	\bbM	Mathematical Double-Struck Capital M
U+1D546	𝕆	\bbO	Mathematical Double-Struck Capital O
U+1D54A	𝕊	\bbS	Mathematical Double-Struck Capital S
U+1D54B	𝕋	\bbT	Mathematical Double-Struck Capital T
U+1D54C	𝕌	\bbU	Mathematical Double-Struck Capital U
U+1D54D	𝕍	\bbV	Mathematical Double-Struck Capital V
U+1D54E	𝕎	\bbW	Mathematical Double-Struck Capital W
U+1D54F	𝕏	\bbX	Mathematical Double-Struck Capital X
U+1D550	𝕐	\bbY	Mathematical Double-Struck Capital Y
U+1D552	𝕒	\bba	Mathematical Double-Struck Small A
U+1D553	𝕓	\bbb	Mathematical Double-Struck Small B
U+1D554	𝕔	\bbc	Mathematical Double-Struck Small C
U+1D555	𝕕	\bbd	Mathematical Double-Struck Small D
U+1D556	𝕖	\bbe	Mathematical Double-Struck Small E
U+1D557	𝕗	\bbf	Mathematical Double-Struck Small F
U+1D558	𝕘	\bbg	Mathematical Double-Struck Small G
U+1D559	𝕙	\bbh	Mathematical Double-Struck Small H
U+1D55A	𝕚	\bbi	Mathematical Double-Struck Small I
U+1D55B	𝕛	\bbj	Mathematical Double-Struck Small J
U+1D55C	𝕜	\bbk	Mathematical Double-Struck Small K
U+1D55D	𝕝	\bbl	Mathematical Double-Struck Small L
U+1D55E	𝕞	\bbm	Mathematical Double-Struck Small M
U+1D55F	𝕟	\bbn	Mathematical Double-Struck Small N
U+1D560	𝕠	\bbo	Mathematical Double-Struck Small O
U+1D561	𝕡	\bbp	Mathematical Double-Struck Small P
U+1D562	𝕢	\bbq	Mathematical Double-Struck Small Q
U+1D563	𝕣	\bbr	Mathematical Double-Struck Small R
U+1D564	𝕤	\bbs	Mathematical Double-Struck Small S
U+1D565	𝕥	\bbt	Mathematical Double-Struck Small T
U+1D566	𝕦	\bbu	Mathematical Double-Struck Small U
U+1D567	𝕧	\bbv	Mathematical Double-Struck Small V
U+1D568	𝕨	\bbw	Mathematical Double-Struck Small W
U+1D569	𝕩	\bbx	Mathematical Double-Struck Small X
U+1D56A	𝕪	\bby	Mathematical Double-Struck Small Y
U+1D56B	𝕫	\bbz	Mathematical Double-Struck Small Z
U+1D56C	𝕬	\bfrakA	Mathematical Bold Fraktur Capital A
U+1D56D	𝕭	\bfrakB	Mathematical Bold Fraktur Capital B
U+1D56E	𝕮	\bfrakC	Mathematical Bold Fraktur Capital C
U+1D56F	𝕯	\bfrakD	Mathematical Bold Fraktur Capital D
U+1D570	𝕰	\bfrakE	Mathematical Bold Fraktur Capital E
U+1D571	𝕱	\bfrakF	Mathematical Bold Fraktur Capital F
U+1D572	𝕲	\bfrakG	Mathematical Bold Fraktur Capital G
U+1D573	𝕳	\bfrakH	Mathematical Bold Fraktur Capital H
U+1D574	𝕴	\bfrakI	Mathematical Bold Fraktur Capital I
U+1D575	𝕵	\bfrakJ	Mathematical Bold Fraktur Capital J
U+1D576	𝕶	\bfrakK	Mathematical Bold Fraktur Capital K
U+1D577	𝕷	\bfrakL	Mathematical Bold Fraktur Capital L
U+1D578	𝕸	\bfrakM	Mathematical Bold Fraktur Capital M
U+1D579	𝕹	\bfrakN	Mathematical Bold Fraktur Capital N
U+1D57A	𝕺	\bfrakO	Mathematical Bold Fraktur Capital O
U+1D57B	𝕻	\bfrakP	Mathematical Bold Fraktur Capital P
U+1D57C	𝕼	\bfrakQ	Mathematical Bold Fraktur Capital Q
U+1D57D	𝕽	\bfrakR	Mathematical Bold Fraktur Capital R
U+1D57E	𝕾	\bfrakS	Mathematical Bold Fraktur Capital S
U+1D57F	𝕿	\bfrakT	Mathematical Bold Fraktur Capital T
U+1D580	𝖀	\bfrakU	Mathematical Bold Fraktur Capital U
U+1D581	𝖁	\bfrakV	Mathematical Bold Fraktur Capital V
U+1D582	𝖂	\bfrakW	Mathematical Bold Fraktur Capital W
U+1D583	𝖃	\bfrakX	Mathematical Bold Fraktur Capital X
U+1D584	𝖄	\bfrakY	Mathematical Bold Fraktur Capital Y
U+1D585	𝖅	\bfrakZ	Mathematical Bold Fraktur Capital Z
U+1D586	𝖆	\bfraka	Mathematical Bold Fraktur Small A
U+1D587	𝖇	\bfrakb	Mathematical Bold Fraktur Small B
U+1D588	𝖈	\bfrakc	Mathematical Bold Fraktur Small C
U+1D589	𝖉	\bfrakd	Mathematical Bold Fraktur Small D
U+1D58A	𝖊	\bfrake	Mathematical Bold Fraktur Small E
U+1D58B	𝖋	\bfrakf	Mathematical Bold Fraktur Small F
U+1D58C	𝖌	\bfrakg	Mathematical Bold Fraktur Small G
U+1D58D	𝖍	\bfrakh	Mathematical Bold Fraktur Small H
U+1D58E	𝖎	\bfraki	Mathematical Bold Fraktur Small I
U+1D58F	𝖏	\bfrakj	Mathematical Bold Fraktur Small J
U+1D590	𝖐	\bfrakk	Mathematical Bold Fraktur Small K
U+1D591	𝖑	\bfrakl	Mathematical Bold Fraktur Small L
U+1D592	𝖒	\bfrakm	Mathematical Bold Fraktur Small M
U+1D593	𝖓	\bfrakn	Mathematical Bold Fraktur Small N
U+1D594	𝖔	\bfrako	Mathematical Bold Fraktur Small O
U+1D595	𝖕	\bfrakp	Mathematical Bold Fraktur Small P
U+1D596	𝖖	\bfrakq	Mathematical Bold Fraktur Small Q
U+1D597	𝖗	\bfrakr	Mathematical Bold Fraktur Small R
U+1D598	𝖘	\bfraks	Mathematical Bold Fraktur Small S
U+1D599	𝖙	\bfrakt	Mathematical Bold Fraktur Small T
U+1D59A	𝖚	\bfraku	Mathematical Bold Fraktur Small U
U+1D59B	𝖛	\bfrakv	Mathematical Bold Fraktur Small V
U+1D59C	𝖜	\bfrakw	Mathematical Bold Fraktur Small W
U+1D59D	𝖝	\bfrakx	Mathematical Bold Fraktur Small X
U+1D59E	𝖞	\bfraky	Mathematical Bold Fraktur Small Y
U+1D59F	𝖟	\bfrakz	Mathematical Bold Fraktur Small Z
U+1D5A0	𝖠	\sansA	Mathematical Sans-Serif Capital A
U+1D5A1	𝖡	\sansB	Mathematical Sans-Serif Capital B
U+1D5A2	𝖢	\sansC	Mathematical Sans-Serif Capital C
U+1D5A3	𝖣	\sansD	Mathematical Sans-Serif Capital D
U+1D5A4	𝖤	\sansE	Mathematical Sans-Serif Capital E
U+1D5A5	𝖥	\sansF	Mathematical Sans-Serif Capital F
U+1D5A6	𝖦	\sansG	Mathematical Sans-Serif Capital G
U+1D5A7	𝖧	\sansH	Mathematical Sans-Serif Capital H
U+1D5A8	𝖨	\sansI	Mathematical Sans-Serif Capital I
U+1D5A9	𝖩	\sansJ	Mathematical Sans-Serif Capital J
U+1D5AA	𝖪	\sansK	Mathematical Sans-Serif Capital K
U+1D5AB	𝖫	\sansL	Mathematical Sans-Serif Capital L
U+1D5AC	𝖬	\sansM	Mathematical Sans-Serif Capital M
U+1D5AD	𝖭	\sansN	Mathematical Sans-Serif Capital N
U+1D5AE	𝖮	\sansO	Mathematical Sans-Serif Capital O
U+1D5AF	𝖯	\sansP	Mathematical Sans-Serif Capital P
U+1D5B0	𝖰	\sansQ	Mathematical Sans-Serif Capital Q
U+1D5B1	𝖱	\sansR	Mathematical Sans-Serif Capital R
U+1D5B2	𝖲	\sansS	Mathematical Sans-Serif Capital S
U+1D5B3	𝖳	\sansT	Mathematical Sans-Serif Capital T
U+1D5B4	𝖴	\sansU	Mathematical Sans-Serif Capital U
U+1D5B5	𝖵	\sansV	Mathematical Sans-Serif Capital V
U+1D5B6	𝖶	\sansW	Mathematical Sans-Serif Capital W
U+1D5B7	𝖷	\sansX	Mathematical Sans-Serif Capital X
U+1D5B8	𝖸	\sansY	Mathematical Sans-Serif Capital Y
U+1D5B9	𝖹	\sansZ	Mathematical Sans-Serif Capital Z
U+1D5BA	𝖺	\sansa	Mathematical Sans-Serif Small A
U+1D5BB	𝖻	\sansb	Mathematical Sans-Serif Small B
U+1D5BC	𝖼	\sansc	Mathematical Sans-Serif Small C
U+1D5BD	𝖽	\sansd	Mathematical Sans-Serif Small D
U+1D5BE	𝖾	\sanse	Mathematical Sans-Serif Small E
U+1D5BF	𝖿	\sansf	Mathematical Sans-Serif Small F
U+1D5C0	𝗀	\sansg	Mathematical Sans-Serif Small G
U+1D5C1	𝗁	\sansh	Mathematical Sans-Serif Small H
U+1D5C2	𝗂	\sansi	Mathematical Sans-Serif Small I
U+1D5C3	𝗃	\sansj	Mathematical Sans-Serif Small J
U+1D5C4	𝗄	\sansk	Mathematical Sans-Serif Small K
U+1D5C5	𝗅	\sansl	Mathematical Sans-Serif Small L
U+1D5C6	𝗆	\sansm	Mathematical Sans-Serif Small M
U+1D5C7	𝗇	\sansn	Mathematical Sans-Serif Small N
U+1D5C8	𝗈	\sanso	Mathematical Sans-Serif Small O
U+1D5C9	𝗉	\sansp	Mathematical Sans-Serif Small P
U+1D5CA	𝗊	\sansq	Mathematical Sans-Serif Small Q
U+1D5CB	𝗋	\sansr	Mathematical Sans-Serif Small R
U+1D5CC	𝗌	\sanss	Mathematical Sans-Serif Small S
U+1D5CD	𝗍	\sanst	Mathematical Sans-Serif Small T
U+1D5CE	𝗎	\sansu	Mathematical Sans-Serif Small U
U+1D5CF	𝗏	\sansv	Mathematical Sans-Serif Small V
U+1D5D0	𝗐	\sansw	Mathematical Sans-Serif Small W
U+1D5D1	𝗑	\sansx	Mathematical Sans-Serif Small X
U+1D5D2	𝗒	\sansy	Mathematical Sans-Serif Small Y
U+1D5D3	𝗓	\sansz	Mathematical Sans-Serif Small Z
U+1D5D4	𝗔	\bsansA	Mathematical Sans-Serif Bold Capital A
U+1D5D5	𝗕	\bsansB	Mathematical Sans-Serif Bold Capital B
U+1D5D6	𝗖	\bsansC	Mathematical Sans-Serif Bold Capital C
U+1D5D7	𝗗	\bsansD	Mathematical Sans-Serif Bold Capital D
U+1D5D8	𝗘	\bsansE	Mathematical Sans-Serif Bold Capital E
U+1D5D9	𝗙	\bsansF	Mathematical Sans-Serif Bold Capital F
U+1D5DA	𝗚	\bsansG	Mathematical Sans-Serif Bold Capital G
U+1D5DB	𝗛	\bsansH	Mathematical Sans-Serif Bold Capital H
U+1D5DC	𝗜	\bsansI	Mathematical Sans-Serif Bold Capital I
U+1D5DD	𝗝	\bsansJ	Mathematical Sans-Serif Bold Capital J
U+1D5DE	𝗞	\bsansK	Mathematical Sans-Serif Bold Capital K
U+1D5DF	𝗟	\bsansL	Mathematical Sans-Serif Bold Capital L
U+1D5E0	𝗠	\bsansM	Mathematical Sans-Serif Bold Capital M
U+1D5E1	𝗡	\bsansN	Mathematical Sans-Serif Bold Capital N
U+1D5E2	𝗢	\bsansO	Mathematical Sans-Serif Bold Capital O
U+1D5E3	𝗣	\bsansP	Mathematical Sans-Serif Bold Capital P
U+1D5E4	𝗤	\bsansQ	Mathematical Sans-Serif Bold Capital Q
U+1D5E5	𝗥	\bsansR	Mathematical Sans-Serif Bold Capital R
U+1D5E6	𝗦	\bsansS	Mathematical Sans-Serif Bold Capital S
U+1D5E7	𝗧	\bsansT	Mathematical Sans-Serif Bold Capital T
U+1D5E8	𝗨	\bsansU	Mathematical Sans-Serif Bold Capital U
U+1D5E9	𝗩	\bsansV	Mathematical Sans-Serif Bold Capital V
U+1D5EA	𝗪	\bsansW	Mathematical Sans-Serif Bold Capital W
U+1D5EB	𝗫	\bsansX	Mathematical Sans-Serif Bold Capital X
U+1D5EC	𝗬	\bsansY	Mathematical Sans-Serif Bold Capital Y
U+1D5ED	𝗭	\bsansZ	Mathematical Sans-Serif Bold Capital Z
U+1D5EE	𝗮	\bsansa	Mathematical Sans-Serif Bold Small A
U+1D5EF	𝗯	\bsansb	Mathematical Sans-Serif Bold Small B
U+1D5F0	𝗰	\bsansc	Mathematical Sans-Serif Bold Small C
U+1D5F1	𝗱	\bsansd	Mathematical Sans-Serif Bold Small D
U+1D5F2	𝗲	\bsanse	Mathematical Sans-Serif Bold Small E
U+1D5F3	𝗳	\bsansf	Mathematical Sans-Serif Bold Small F
U+1D5F4	𝗴	\bsansg	Mathematical Sans-Serif Bold Small G
U+1D5F5	𝗵	\bsansh	Mathematical Sans-Serif Bold Small H
U+1D5F6	𝗶	\bsansi	Mathematical Sans-Serif Bold Small I
U+1D5F7	𝗷	\bsansj	Mathematical Sans-Serif Bold Small J
U+1D5F8	𝗸	\bsansk	Mathematical Sans-Serif Bold Small K
U+1D5F9	𝗹	\bsansl	Mathematical Sans-Serif Bold Small L
U+1D5FA	𝗺	\bsansm	Mathematical Sans-Serif Bold Small M
U+1D5FB	𝗻	\bsansn	Mathematical Sans-Serif Bold Small N
U+1D5FC	𝗼	\bsanso	Mathematical Sans-Serif Bold Small O
U+1D5FD	𝗽	\bsansp	Mathematical Sans-Serif Bold Small P
U+1D5FE	𝗾	\bsansq	Mathematical Sans-Serif Bold Small Q
U+1D5FF	𝗿	\bsansr	Mathematical Sans-Serif Bold Small R
U+1D600	𝘀	\bsanss	Mathematical Sans-Serif Bold Small S
U+1D601	𝘁	\bsanst	Mathematical Sans-Serif Bold Small T
U+1D602	𝘂	\bsansu	Mathematical Sans-Serif Bold Small U
U+1D603	𝘃	\bsansv	Mathematical Sans-Serif Bold Small V
U+1D604	𝘄	\bsansw	Mathematical Sans-Serif Bold Small W
U+1D605	𝘅	\bsansx	Mathematical Sans-Serif Bold Small X
U+1D606	𝘆	\bsansy	Mathematical Sans-Serif Bold Small Y
U+1D607	𝘇	\bsansz	Mathematical Sans-Serif Bold Small Z
U+1D608	𝘈	\isansA	Mathematical Sans-Serif Italic Capital A
U+1D609	𝘉	\isansB	Mathematical Sans-Serif Italic Capital B
U+1D60A	𝘊	\isansC	Mathematical Sans-Serif Italic Capital C
U+1D60B	𝘋	\isansD	Mathematical Sans-Serif Italic Capital D
U+1D60C	𝘌	\isansE	Mathematical Sans-Serif Italic Capital E
U+1D60D	𝘍	\isansF	Mathematical Sans-Serif Italic Capital F
U+1D60E	𝘎	\isansG	Mathematical Sans-Serif Italic Capital G
U+1D60F	𝘏	\isansH	Mathematical Sans-Serif Italic Capital H
U+1D610	𝘐	\isansI	Mathematical Sans-Serif Italic Capital I
U+1D611	𝘑	\isansJ	Mathematical Sans-Serif Italic Capital J
U+1D612	𝘒	\isansK	Mathematical Sans-Serif Italic Capital K
U+1D613	𝘓	\isansL	Mathematical Sans-Serif Italic Capital L
U+1D614	𝘔	\isansM	Mathematical Sans-Serif Italic Capital M
U+1D615	𝘕	\isansN	Mathematical Sans-Serif Italic Capital N
U+1D616	𝘖	\isansO	Mathematical Sans-Serif Italic Capital O
U+1D617	𝘗	\isansP	Mathematical Sans-Serif Italic Capital P
U+1D618	𝘘	\isansQ	Mathematical Sans-Serif Italic Capital Q
U+1D619	𝘙	\isansR	Mathematical Sans-Serif Italic Capital R
U+1D61A	𝘚	\isansS	Mathematical Sans-Serif Italic Capital S
U+1D61B	𝘛	\isansT	Mathematical Sans-Serif Italic Capital T
U+1D61C	𝘜	\isansU	Mathematical Sans-Serif Italic Capital U
U+1D61D	𝘝	\isansV	Mathematical Sans-Serif Italic Capital V
U+1D61E	𝘞	\isansW	Mathematical Sans-Serif Italic Capital W
U+1D61F	𝘟	\isansX	Mathematical Sans-Serif Italic Capital X
U+1D620	𝘠	\isansY	Mathematical Sans-Serif Italic Capital Y
U+1D621	𝘡	\isansZ	Mathematical Sans-Serif Italic Capital Z
U+1D622	𝘢	\isansa	Mathematical Sans-Serif Italic Small A
U+1D623	𝘣	\isansb	Mathematical Sans-Serif Italic Small B
U+1D624	𝘤	\isansc	Mathematical Sans-Serif Italic Small C
U+1D625	𝘥	\isansd	Mathematical Sans-Serif Italic Small D
U+1D626	𝘦	\isanse	Mathematical Sans-Serif Italic Small E
U+1D627	𝘧	\isansf	Mathematical Sans-Serif Italic Small F
U+1D628	𝘨	\isansg	Mathematical Sans-Serif Italic Small G
U+1D629	𝘩	\isansh	Mathematical Sans-Serif Italic Small H
U+1D62A	𝘪	\isansi	Mathematical Sans-Serif Italic Small I
U+1D62B	𝘫	\isansj	Mathematical Sans-Serif Italic Small J
U+1D62C	𝘬	\isansk	Mathematical Sans-Serif Italic Small K
U+1D62D	𝘭	\isansl	Mathematical Sans-Serif Italic Small L
U+1D62E	𝘮	\isansm	Mathematical Sans-Serif Italic Small M
U+1D62F	𝘯	\isansn	Mathematical Sans-Serif Italic Small N
U+1D630	𝘰	\isanso	Mathematical Sans-Serif Italic Small O
U+1D631	𝘱	\isansp	Mathematical Sans-Serif Italic Small P
U+1D632	𝘲	\isansq	Mathematical Sans-Serif Italic Small Q
U+1D633	𝘳	\isansr	Mathematical Sans-Serif Italic Small R
U+1D634	𝘴	\isanss	Mathematical Sans-Serif Italic Small S
U+1D635	𝘵	\isanst	Mathematical Sans-Serif Italic Small T
U+1D636	𝘶	\isansu	Mathematical Sans-Serif Italic Small U
U+1D637	𝘷	\isansv	Mathematical Sans-Serif Italic Small V
U+1D638	𝘸	\isansw	Mathematical Sans-Serif Italic Small W
U+1D639	𝘹	\isansx	Mathematical Sans-Serif Italic Small X
U+1D63A	𝘺	\isansy	Mathematical Sans-Serif Italic Small Y
U+1D63B	𝘻	\isansz	Mathematical Sans-Serif Italic Small Z
U+1D63C	𝘼	\bisansA	Mathematical Sans-Serif Bold Italic Capital A
U+1D63D	𝘽	\bisansB	Mathematical Sans-Serif Bold Italic Capital B
U+1D63E	𝘾	\bisansC	Mathematical Sans-Serif Bold Italic Capital C
U+1D63F	𝘿	\bisansD	Mathematical Sans-Serif Bold Italic Capital D
U+1D640	𝙀	\bisansE	Mathematical Sans-Serif Bold Italic Capital E
U+1D641	𝙁	\bisansF	Mathematical Sans-Serif Bold Italic Capital F
U+1D642	𝙂	\bisansG	Mathematical Sans-Serif Bold Italic Capital G
U+1D643	𝙃	\bisansH	Mathematical Sans-Serif Bold Italic Capital H
U+1D644	𝙄	\bisansI	Mathematical Sans-Serif Bold Italic Capital I
U+1D645	𝙅	\bisansJ	Mathematical Sans-Serif Bold Italic Capital J
U+1D646	𝙆	\bisansK	Mathematical Sans-Serif Bold Italic Capital K
U+1D647	𝙇	\bisansL	Mathematical Sans-Serif Bold Italic Capital L
U+1D648	𝙈	\bisansM	Mathematical Sans-Serif Bold Italic Capital M
U+1D649	𝙉	\bisansN	Mathematical Sans-Serif Bold Italic Capital N
U+1D64A	𝙊	\bisansO	Mathematical Sans-Serif Bold Italic Capital O
U+1D64B	𝙋	\bisansP	Mathematical Sans-Serif Bold Italic Capital P
U+1D64C	𝙌	\bisansQ	Mathematical Sans-Serif Bold Italic Capital Q
U+1D64D	𝙍	\bisansR	Mathematical Sans-Serif Bold Italic Capital R
U+1D64E	𝙎	\bisansS	Mathematical Sans-Serif Bold Italic Capital S
U+1D64F	𝙏	\bisansT	Mathematical Sans-Serif Bold Italic Capital T
U+1D650	𝙐	\bisansU	Mathematical Sans-Serif Bold Italic Capital U
U+1D651	𝙑	\bisansV	Mathematical Sans-Serif Bold Italic Capital V
U+1D652	𝙒	\bisansW	Mathematical Sans-Serif Bold Italic Capital W
U+1D653	𝙓	\bisansX	Mathematical Sans-Serif Bold Italic Capital X
U+1D654	𝙔	\bisansY	Mathematical Sans-Serif Bold Italic Capital Y
U+1D655	𝙕	\bisansZ	Mathematical Sans-Serif Bold Italic Capital Z
U+1D656	𝙖	\bisansa	Mathematical Sans-Serif Bold Italic Small A
U+1D657	𝙗	\bisansb	Mathematical Sans-Serif Bold Italic Small B
U+1D658	𝙘	\bisansc	Mathematical Sans-Serif Bold Italic Small C
U+1D659	𝙙	\bisansd	Mathematical Sans-Serif Bold Italic Small D
U+1D65A	𝙚	\bisanse	Mathematical Sans-Serif Bold Italic Small E
U+1D65B	𝙛	\bisansf	Mathematical Sans-Serif Bold Italic Small F
U+1D65C	𝙜	\bisansg	Mathematical Sans-Serif Bold Italic Small G
